chrom,bam,bai,ref_fasta,ref_fai,gencode_gtf
chr1,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr1.GRCh38_no_alt.sorted.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr1.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr1.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr1.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v47.primary.ucscstyle.chr1.gtf.gz
chr2,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr2.GRCh38_no_alt.sorted.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr2.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr2.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr2.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v47.primary.ucscstyle.chr2.gtf.gz
chr3,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr3.GRCh38_no_alt.sorted.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr3.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr3.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr3.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v47.primary.ucscstyle.chr3.gtf.gz
chr4,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr4.GRCh38_no_alt.sorted.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr4.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr4.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr4.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v47.primary.ucscstyle.chr4.gtf.gz
chr5,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr5.GRCh38_no_alt.sorted.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr5.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr5.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr5.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v47.primary.ucscstyle.chr5.gtf.gz
chr6,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr6.GRCh38_no_alt.sorted.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr6.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr6.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr6.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v47.primary.ucscstyle.chr6.gtf.gz
chr7,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr7.GRCh38_no_alt.sorted.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr7.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr7.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr7.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v47.primary.ucscstyle.chr7.gtf.gz
chr8,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr8.GRCh38_no_alt.sorted.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr8.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr8.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr8.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v47.primary.ucscstyle.chr8.gtf.gz
chr9,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr9.GRCh38_no_alt.sorted.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr9.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr9.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr9.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v47.primary.ucscstyle.chr9.gtf.gz
chr10,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr10.GRCh38_no_alt.sorted.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/minimap2/merged_bam/per_chrom/HPRC_R2.chr10.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr10.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr10.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v47.primary.ucscstyle.chr10.gtf.gz
