chrom,bam,bai,ref_fasta,ref_fai,gencode_gtf
chr14,/gpfs/gibbs/pi/ycgh/wl474/projects/hprc_r2/isoform_analysis/minimap2_with_junc_bed/merged_bam/per_chrom/HPRC_R2_FLNC.chr14.GRCh38_no_alt.sorted.bam,/gpfs/gibbs/pi/ycgh/wl474/projects/hprc_r2/isoform_analysis/minimap2_with_junc_bed/merged_bam/per_chrom/HPRC_R2_FLNC.chr14.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr14.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr14.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v48.primary.ucscstyle.chr14.gtf.gz
chr15,/gpfs/gibbs/pi/ycgh/wl474/projects/hprc_r2/isoform_analysis/minimap2_with_junc_bed/merged_bam/per_chrom/HPRC_R2_FLNC.chr15.GRCh38_no_alt.sorted.bam,/gpfs/gibbs/pi/ycgh/wl474/projects/hprc_r2/isoform_analysis/minimap2_with_junc_bed/merged_bam/per_chrom/HPRC_R2_FLNC.chr15.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr15.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr15.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v48.primary.ucscstyle.chr15.gtf.gz
chr16,/gpfs/gibbs/pi/ycgh/wl474/projects/hprc_r2/isoform_analysis/minimap2_with_junc_bed/merged_bam/per_chrom/HPRC_R2_FLNC.chr16.GRCh38_no_alt.sorted.bam,/gpfs/gibbs/pi/ycgh/wl474/projects/hprc_r2/isoform_analysis/minimap2_with_junc_bed/merged_bam/per_chrom/HPRC_R2_FLNC.chr16.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr16.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr16.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v48.primary.ucscstyle.chr16.gtf.gz
chr17,/gpfs/gibbs/pi/ycgh/wl474/projects/hprc_r2/isoform_analysis/minimap2_with_junc_bed/merged_bam/per_chrom/HPRC_R2_FLNC.chr17.GRCh38_no_alt.sorted.bam,/gpfs/gibbs/pi/ycgh/wl474/projects/hprc_r2/isoform_analysis/minimap2_with_junc_bed/merged_bam/per_chrom/HPRC_R2_FLNC.chr17.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr17.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr17.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v48.primary.ucscstyle.chr17.gtf.gz
chr18,/gpfs/gibbs/pi/ycgh/wl474/projects/hprc_r2/isoform_analysis/minimap2_with_junc_bed/merged_bam/per_chrom/HPRC_R2_FLNC.chr18.GRCh38_no_alt.sorted.bam,/gpfs/gibbs/pi/ycgh/wl474/projects/hprc_r2/isoform_analysis/minimap2_with_junc_bed/merged_bam/per_chrom/HPRC_R2_FLNC.chr18.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr18.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr18.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v48.primary.ucscstyle.chr18.gtf.gz
chr20,/gpfs/gibbs/pi/ycgh/wl474/projects/hprc_r2/isoform_analysis/minimap2_with_junc_bed/merged_bam/per_chrom/HPRC_R2_FLNC.chr20.GRCh38_no_alt.sorted.bam,/gpfs/gibbs/pi/ycgh/wl474/projects/hprc_r2/isoform_analysis/minimap2_with_junc_bed/merged_bam/per_chrom/HPRC_R2_FLNC.chr20.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr20.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr20.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v48.primary.ucscstyle.chr20.gtf.gz
chr21,/gpfs/gibbs/pi/ycgh/wl474/projects/hprc_r2/isoform_analysis/minimap2_with_junc_bed/merged_bam/per_chrom/HPRC_R2_FLNC.chr21.GRCh38_no_alt.sorted.bam,/gpfs/gibbs/pi/ycgh/wl474/projects/hprc_r2/isoform_analysis/minimap2_with_junc_bed/merged_bam/per_chrom/HPRC_R2_FLNC.chr21.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr21.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr21.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v48.primary.ucscstyle.chr21.gtf.gz
chr22,/gpfs/gibbs/pi/ycgh/wl474/projects/hprc_r2/isoform_analysis/minimap2_with_junc_bed/merged_bam/per_chrom/HPRC_R2_FLNC.chr22.GRCh38_no_alt.sorted.bam,/gpfs/gibbs/pi/ycgh/wl474/projects/hprc_r2/isoform_analysis/minimap2_with_junc_bed/merged_bam/per_chrom/HPRC_R2_FLNC.chr22.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr22.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chr22.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v48.primary.ucscstyle.chr22.gtf.gz
chrX,/gpfs/gibbs/pi/ycgh/wl474/projects/hprc_r2/isoform_analysis/minimap2_with_junc_bed/merged_bam/per_chrom/HPRC_R2_FLNC.chrX.GRCh38_no_alt.sorted.bam,/gpfs/gibbs/pi/ycgh/wl474/projects/hprc_r2/isoform_analysis/minimap2_with_junc_bed/merged_bam/per_chrom/HPRC_R2_FLNC.chrX.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chrX.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chrX.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v48.primary.ucscstyle.chrX.gtf.gz
chrY,/gpfs/gibbs/pi/ycgh/wl474/projects/hprc_r2/isoform_analysis/minimap2_with_junc_bed/merged_bam/per_chrom/HPRC_R2_FLNC.chrY.GRCh38_no_alt.sorted.bam,/gpfs/gibbs/pi/ycgh/wl474/projects/hprc_r2/isoform_analysis/minimap2_with_junc_bed/merged_bam/per_chrom/HPRC_R2_FLNC.chrY.GRCh38_no_alt.sorted.bam.bai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chrY.fa,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/fasta/GRCh38_no_alt.chrY.fa.fai,/gpfs/gibbs/pi/ycgh/wl474/resources/reference_genomes/GRCh38_no_alt/per_chrom/gtf/gencode.v48.primary.ucscstyle.chrY.gtf.gz
